Datetime,Adj Close,Volume,Adj Close(t-1),Volume(t-1),Adj Close(t-2),Volume(t-2),Adj Close(t-3),Volume(t-3),Adj Close(t-4),Volume(t-4),Adj Close(t-5),Volume(t-5),Adj Close(t-6),Volume(t-6),Adj Close(t-7),Volume(t-7)
2024-04-25 11:03:00-04:00,168.56,90790,168.6,80167.0,168.56,75363.0,168.57,77653.0,168.57,67222.0,168.62,60062.0,168.63,70095.0,168.65,96769.0
2024-04-25 11:04:00-04:00,168.6,93204,168.56,90790.0,168.6,80167.0,168.56,75363.0,168.57,77653.0,168.57,67222.0,168.62,60062.0,168.63,70095.0
2024-04-25 11:05:00-04:00,168.62,65394,168.6,93204.0,168.56,90790.0,168.6,80167.0,168.56,75363.0,168.57,77653.0,168.57,67222.0,168.62,60062.0
2024-04-25 11:06:00-04:00,168.62,62961,168.62,65394.0,168.6,93204.0,168.56,90790.0,168.6,80167.0,168.56,75363.0,168.57,77653.0,168.57,67222.0
2024-04-25 11:07:00-04:00,168.65,42913,168.62,62961.0,168.62,65394.0,168.6,93204.0,168.56,90790.0,168.6,80167.0,168.56,75363.0,168.57,77653.0
2024-04-25 11:08:00-04:00,168.61,68772,168.65,42913.0,168.62,62961.0,168.62,65394.0,168.6,93204.0,168.56,90790.0,168.6,80167.0,168.56,75363.0
2024-04-25 11:09:00-04:00,168.6,37257,168.61,68772.0,168.65,42913.0,168.62,62961.0,168.62,65394.0,168.6,93204.0,168.56,90790.0,168.6,80167.0
2024-04-25 11:10:00-04:00,168.62,58611,168.6,37257.0,168.61,68772.0,168.65,42913.0,168.62,62961.0,168.62,65394.0,168.6,93204.0,168.56,90790.0
2024-04-25 11:11:00-04:00,168.63,85478,168.62,58611.0,168.6,37257.0,168.61,68772.0,168.65,42913.0,168.62,62961.0,168.62,65394.0,168.6,93204.0
2024-04-25 11:12:00-04:00,168.62,74431,168.63,85478.0,168.62,58611.0,168.6,37257.0,168.61,68772.0,168.65,42913.0,168.62,62961.0,168.62,65394.0
